l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Camp_Pendleton_Airport, Juneau_Airport, 0, D0017, C-17, 2, 2180, 10000
Camp_Pendleton_Airport, Elmendorf_AFB, 0, H7030, C-17, 2, 1, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 1479AS500, C-17, 1, 300, 0
Camp_Pendleton_Airport, Nome_Airport, 0, A0073, C-17, 4, 1, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 3573AS100-1, C-17, 1, 2100, 0
Camp_Pendleton_Airport, Nome_Airport, 0, D0022, C-17, 2, 7840, 10000
Camp_Pendleton_Airport, Nome_Airport, 0, A0067, C-17, 4, 9780, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 10-10-0002, C-17, 1, 12500, 0
Anchorage_Port, Seward_MPF_Port, 0, E1500, OSV, 1, 37020, 10000
Anchorage_Port, Seward_MPF_Port, 0, E0043, OSV, 0.999, 12060, 10000
Anchorage_Port, Nome_Port, 0, AIR_CONDITIONER-DIESEL-LAND_BASED, OSV, 0.0862338, 14160, 0
Anchorage_Port, Nome_Port, 0, D12147K, OSV, 1, 67600, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, B0027, Truck-5, 0.113395, 311, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, D0880, Truck-5, 1, 200, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, C0078, Truck-5, 6, 200, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, D1001, LowBoyTractor, 0.911125, 7960, 10000
Mosquito_Lake_Sup, Tanani_Sup, 0, B0027, Truck-5, 7.86727, 311, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B2561, Truck-5, 0.757479, 31900, 0
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B0027, Truck-5, 0.273289, 311, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, V4652, Truck-5, 14, 1, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B0027, Truck-5, 0.122327, 311, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B0730, Truck-5, 4, 304, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B22502E, Truck-5, 1, 363, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B22102E, Truck-5, 1, 243, 0
Tanani_Sup, Juneau_Airport, 0, A0073, Truck-5, 2, 1, 0
Tanani_Sup, Juneau_Airport, 0, C8640, Truck-5, 1, 200, 0
Tanani_Sup, Juneau_Airport, 0, C8644, Truck-5, 1, 200, 0
Tanani_Sup, Juneau_Airport, 0, C8685, Truck-5, 1, 200, 0
Tanani_Sup, Juneau_Airport, 0, NIIN_1491094, Truck-5, 8.22581, 22, 0
Tanani_Sup, Juneau_Airport, 0, C8740, Truck-5, 1, 200, 0
Tanani_Sup, Juneau_Airport, 0, A7706, Truck-5, 2, 18, 0
Tanani_Sup, Juneau_Airport, 0, V4012, Truck-5, 27.1466, 200, 0
Tanani_Sup, Juneau_Airport, 0, C8648, Truck-5, 1, 200, 0
Tanani_Sup, Juneau_Airport, 0, A0097, Truck-5, 2, 2, 0
Tanani_Sup, Juneau_Airport, 0, NIIN_14671753, Truck-5, 2068.18, 15, 0
Tanani_Sup, Mosquito_Lake_Sup, 0, V0028, LowBoyTractor, 22.8984, 200, 0
Tanani_Sup, Mosquito_Lake_Sup, 0, V0024, LowBoyTractor, 352.102, 200, 0
Tanani_Sup, Mosquito_Lake_Sup, 0, V0026, Truck-5, 32.701, 200, 0
Tanani_Sup, Mosquito_Lake_Sup, 0, C8640, Truck-5, 1, 200, 0
