l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Camp_Pendleton_Airport, Juneau_Airport, 0, D0017, C-17, 2, 2180, 10000
Camp_Pendleton_Airport, Elmendorf_AFB, 0, H2044, C-17, 3, 1, 0
Camp_Pendleton_Airport, Elmendorf_AFB, 0, H7030, C-17, 2, 1, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 1479AS500, C-17, 1, 300, 0
Camp_Pendleton_Airport, Nome_Airport, 0, A0073, C-17, 4, 1, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 3573AS100-1, C-17, 1, 2100, 0
Camp_Pendleton_Airport, Nome_Airport, 0, D0022, C-17, 2, 7840, 10000
Camp_Pendleton_Airport, Nome_Airport, 0, 040489-10, C-17, 1, 4000, 0
Camp_Pendleton_Airport, Nome_Airport, 0, A0067, C-17, 4, 9780, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 10-10-0002, C-17, 1, 12500, 0
Anchorage_Port, Seward_MPF_Port, 0, A0047, OSV, 0.97866, 7550, 0
Anchorage_Port, Seward_MPF_Port, 0, AIR_CONDITIONER-DIESEL-LAND_BASED, OSV, 0.0762131, 14160, 0
Anchorage_Port, Seward_MPF_Port, 0, D12147K, OSV, 0.334968, 67600, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, B0008, LowBoyTractor, 2, 794, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B2085, LowBoyTractor, 4, 2600, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B0043, LowBoyTractor, 1, 1550, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, D0880, LowBoyTractor, 1, 200, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, C0035, LowBoyTractor, 1, 887, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, M5030, LowBoyTractor, 3, 510, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B0014, LowBoyTractor, 5, 736, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, C0078, LowBoyTractor, 6, 200, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, D0052, LowBoyTractor, 0.203133, 57300, 10000
Mosquito_Lake_Sup, Tanani_Sup, 0, B0049, Truck-5, 2, 7410, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B0027, Truck-5, 7.80672, 311, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B2566, Truck-5, 1, 13440, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B2561, Truck-5, 0.63418, 31900, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, D1001, Truck-5, 0.0996332, 7960, 10000
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, D0052, LowBoyTractor, 0.139827, 57300, 10000
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B0027, Truck-5, 0.823167, 311, 0
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, D0033, Truck-5, 0.256513, 10740, 10000
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B2566, Truck-5, 2.19318, 13440, 0
