l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Juneau_Airport, Elmendorf_AFB, 4, V0028, C-17, 16, 200, 0
Juneau_Airport, Elmendorf_AFB, 4, V0026, C-17, 105, 200, 0
Juneau_Airport, Elmendorf_AFB, 4, B0027, C-17, 1, 311, 0
Juneau_Airport, Elmendorf_AFB, 4, A0067, C-17, 1, 9780, 0
Elmendorf_AFB, Fairbanks_Airport, 4, C0138, Truck-5, 28, 730, 0
Elmendorf_AFB, Fairbanks_Airport, 4, C3409, Truck-5, 130, 650, 0
Anchorage_Port, Fairbanks_Airport, 4, V0028, Truck-5, 89, 200, 0
Anchorage_Port, Fairbanks_Airport, 4, V0024, Truck-5, 86, 200, 0
Seward_MPF_Port, Fairbanks_Airport, 4, V0028, Truck-5, 175, 200, 0
Nome_Airport, Teller_Dest, 4, V0023, Truck-5, 2, 200, 0
Nome_Airport, Teller_Dest, 4, V0028, Truck-5, 28, 200, 0
Nome_Airport, Teller_Dest, 4, V4550, Truck-5, 2, 200, 0
Nome_Airport, Teller_Dest, 4, K4250, Truck-5, 20, 1, 0
Nome_Airport, Teller_Dest, 4, C4880, Truck-5, 9, 200, 0
Nome_Airport, Teller_Dest, 4, C79052B, Truck-5, 1, 200, 0
Nome_Airport, Teller_Dest, 4, C0078, Truck-5, 6, 200, 0
Nome_Airport, Teller_Dest, 4, V0026, Truck-5, 20, 200, 0
Nome_Airport, Teller_Dest, 4, V4610, Truck-5, 2, 200, 0
Nome_Airport, Teller_Dest, 4, B0028, Truck-5, 4, 455, 0
Nome_Airport, Teller_Dest, 4, K4128, Truck-5, 6, 1, 0
Nome_Airport, Teller_Dest, 4, K4343, Truck-5, 6, 200, 0
Nome_Airport, Teller_Dest, 4, K4959, Truck-5, 3, 505, 0
Nome_Airport, Teller_Dest, 4, K4895, Truck-5, 2, 1, 0
Nome_Airport, Teller_Dest, 4, B0027, Truck-5, 1, 311, 0
Nome_Airport, Teller_Dest, 4, V0012, Truck-5, 7, 200, 0
Nome_Airport, Teller_Dest, 4, V4340, Truck-5, 6, 200, 0
Nome_Airport, Teller_Dest, 4, C7915, Truck-5, 2, 120, 0
Nome_Airport, Teller_Dest, 4, V0024, Truck-5, 28, 200, 0
Nome_Airport, Teller_Dest, 4, C0138, Truck-5, 2, 730, 0
Nome_Airport, Teller_Dest, 4, V4355, Truck-5, 28, 200, 0
Nome_Airport, Teller_Dest, 4, B2035, Truck-5, 2, 200, 0
Nome_Airport, Teller_Dest, 4, A0097, Truck-5, 2, 2, 0
Nome_Airport, Teller_Dest, 4, C4546, Truck-5, 9, 3, 0
Nome_Port, Teller_Dest, 4, SUU-96/A, Truck-5, 1, 250, 0
Nome_Port, Teller_Dest, 4, C44332E, Truck-5, 1, 4830, 10000
Nome_Port, Teller_Dest, 4, LH859, Truck-5, 1, 5500, 0
