j,t,l, Inv, Inv_LB, shortage
D0003, 8, Nome_Port, 0, 0, 0
D0003, 8, Teller_Dest, 0, 2, 2
D0003, 8, Camp_Pendleton_Airport, 0, 0, 0
D0003, 8, Point_Loma, 0, 0, 0
D0003, 9, Juneau_Airport, 1, 3, 2
D0003, 9, Mosquito_Lake_Sup, 7, 0, 0
D0003, 9, Tanani_Sup, 0, 0, 0
D0003, 9, Mud_Bay_Sup, 0, 0, 0
D0003, 9, Port_Chilkoot, 0, 0, 0
D0003, 9, Elmendorf_AFB, 0, 0, 0
D0003, 9, Anchorage_Port, 0, 0, 0
D0003, 9, Seward_MPF_Port, 0, 0, 0
D0003, 9, Fairbanks_Airport, 0, 2, 2
D0003, 9, Nome_Airport, 0, 0, 0
D0003, 9, Nome_Port, 0, 0, 0
D0003, 9, Teller_Dest, 0, 2, 2
D0003, 9, Camp_Pendleton_Airport, 0, 0, 0
D0003, 9, Point_Loma, 0, 0, 0
D0003, 10, Juneau_Airport, 1, 3, 2
D0003, 10, Mosquito_Lake_Sup, 7, 0, 0
D0003, 10, Tanani_Sup, 0, 0, 0
D0003, 10, Mud_Bay_Sup, 0, 0, 0
D0003, 10, Port_Chilkoot, 0, 0, 0
D0003, 10, Elmendorf_AFB, 0, 0, 0
D0003, 10, Anchorage_Port, 0, 0, 0
D0003, 10, Seward_MPF_Port, 0, 0, 0
D0003, 10, Fairbanks_Airport, 0, 2, 2
D0003, 10, Nome_Airport, 0, 0, 0
D0003, 10, Nome_Port, 0, 0, 0
D0003, 10, Teller_Dest, 0, 2, 2
D0003, 10, Camp_Pendleton_Airport, 0, 0, 0
D0003, 10, Point_Loma, 0, 0, 0
D0003, 11, Juneau_Airport, 1, 3, 2
D0003, 11, Mosquito_Lake_Sup, 7, 0, 0
D0003, 11, Tanani_Sup, 0, 0, 0
D0003, 11, Mud_Bay_Sup, 0, 0, 0
D0003, 11, Port_Chilkoot, 0, 0, 0
D0003, 11, Elmendorf_AFB, 0, 0, 0
D0003, 11, Anchorage_Port, 0, 0, 0
D0003, 11, Seward_MPF_Port, 0, 0, 0
D0003, 11, Fairbanks_Airport, 0, 2, 2
D0003, 11, Nome_Airport, 0, 0, 0
D0003, 11, Nome_Port, 0, 0, 0
D0003, 11, Teller_Dest, 0, 2, 2
D0003, 11, Camp_Pendleton_Airport, 0, 0, 0
D0003, 11, Point_Loma, 0, 0, 0
D0003, 12, Juneau_Airport, 1, 3, 2
D0003, 12, Mosquito_Lake_Sup, 7, 0, 0
D0003, 12, Tanani_Sup, 0, 0, 0
D0003, 12, Mud_Bay_Sup, 0, 0, 0
D0003, 12, Port_Chilkoot, 0, 0, 0
D0003, 12, Elmendorf_AFB, 0, 0, 0
D0003, 12, Anchorage_Port, 0, 0, 0
D0003, 12, Seward_MPF_Port, 0, 0, 0
D0003, 12, Fairbanks_Airport, 0, 2, 2
D0003, 12, Nome_Airport, 0, 0, 0
D0003, 12, Nome_Port, 0, 0, 0
D0003, 12, Teller_Dest, 0, 2, 2
D0003, 12, Camp_Pendleton_Airport, 0, 0, 0
D0003, 12, Point_Loma, 0, 0, 0
D0003, 13, Juneau_Airport, 1, 3, 2
D0003, 13, Mosquito_Lake_Sup, 7, 0, 0
D0003, 13, Tanani_Sup, 0, 0, 0
D0003, 13, Mud_Bay_Sup, 0, 0, 0
D0003, 13, Port_Chilkoot, 0, 0, 0
D0003, 13, Elmendorf_AFB, 0, 0, 0
D0003, 13, Anchorage_Port, 0, 0, 0
D0003, 13, Seward_MPF_Port, 0, 0, 0
D0003, 13, Fairbanks_Airport, 0, 2, 2
D0003, 13, Nome_Airport, 0, 0, 0
D0003, 13, Nome_Port, 0, 0, 0
D0003, 13, Teller_Dest, 0, 2, 2
D0003, 13, Camp_Pendleton_Airport, 0, 0, 0
D0003, 13, Point_Loma, 0, 0, 0
D0003, 14, Juneau_Airport, 1, 3, 2
D0003, 14, Mosquito_Lake_Sup, 7, 0, 0
D0003, 14, Tanani_Sup, 0, 0, 0
D0003, 14, Mud_Bay_Sup, 0, 0, 0
D0003, 14, Port_Chilkoot, 0, 0, 0
D0003, 14, Elmendorf_AFB, 0, 0, 0
D0003, 14, Anchorage_Port, 0, 0, 0
D0003, 14, Seward_MPF_Port, 0, 0, 0
D0003, 14, Fairbanks_Airport, 0, 2, 2
D0003, 14, Nome_Airport, 0, 0, 0
