l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Mosquito_Lake_Sup, Juneau_Airport, 0, D0880, Truck-5, 1, 200, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, B0027, Truck-5, 0.240613, 311, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, M5030, Truck-5, 3, 510, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B0008, Truck-5, 0.161729, 794, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, C0078, Truck-5, 6, 200, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B0027, Truck-5, 5.61293, 311, 0
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, D1001, Truck-5, 1, 7960, 10000
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B0049, Truck-5, 0.460164, 7410, 0
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B2566, Truck-5, 0.494356, 13440, 0
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B0027, Truck-5, 2.26757, 311, 0
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B2561, Truck-5, 1, 31900, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 0, B0014, Truck-5, 2, 736, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 0, B0027, Truck-5, 0.0387423, 311, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 0, V4652, Truck-5, 6, 1, 0
Mosquito_Lake_Sup, Seward_MPF_Port, 0, B0027, Truck-5, 0.0010737, 311, 0
Mosquito_Lake_Sup, Seward_MPF_Port, 0, V4652, Truck-5, 8, 1, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B22502E, Truck-5, 1, 363, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B0027, Truck-5, 0.197522, 311, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B22102E, Truck-5, 1, 243, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, M5030, Truck-5, 1, 510, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B0008, Truck-5, 2, 794, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B0730, Truck-5, 4, 304, 0
Tanani_Sup, Juneau_Airport, 0, A0097, Truck-5, 2, 2, 0
Tanani_Sup, Juneau_Airport, 0, A7706, Truck-5, 2, 18, 0
Tanani_Sup, Juneau_Airport, 0, NIIN 14671753, Truck-5, 2068.18, 15, 0
Tanani_Sup, Juneau_Airport, 0, NIIN 1491094, Truck-5, 8.22581, 22, 0
Tanani_Sup, Mosquito_Lake_Sup, 0, E0994, Truck-5, 8, 68, 10000
Tanani_Sup, Mosquito_Lake_Sup, 0, E0123, Truck-5, 8, 1, 10000
Tanani_Sup, Mosquito_Lake_Sup, 0, E1123, Truck-5, 8, 163, 10000
Tanani_Sup, Mosquito_Lake_Sup, 0, E1095, Truck-5, 2, 1, 10000
Tanani_Sup, Mosquito_Lake_Sup, 0, E0088, Truck-5, 36, 3, 10000
Tanani_Sup, Mosquito_Lake_Sup, 0, E0180, Truck-5, 2, 10, 10000
Tanani_Sup, Mosquito_Lake_Sup, 0, E0989, Truck-5, 33, 24, 10000
Tanani_Sup, Mosquito_Lake_Sup, 0, E1126, Truck-5, 16, 44, 10000
Tanani_Sup, Fairbanks_Airport, 0, A0135, Truck-5, 2, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, V0028, Truck-5, 650, 200, 0
Tanani_Sup, Fairbanks_Airport, 0, A0097, Truck-5, 9, 2, 0
Tanani_Sup, Fairbanks_Airport, 0, V0026, Truck-5, 570, 200, 0
Tanani_Sup, Fairbanks_Airport, 0, A7902, Truck-5, 6, 75, 0
Tanani_Sup, Fairbanks_Airport, 0, H2047, Truck-5, 12, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, H7255, Truck-5, 2, 10, 0
Tanani_Sup, Fairbanks_Airport, 0, H2044, Truck-5, 2, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, A0073, Truck-5, 17, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, A7706, Truck-5, 3, 18, 0
Tanani_Sup, Fairbanks_Airport, 0, V4012, Truck-5, 2.47652, 200, 0
Tanani_Sup, Fairbanks_Airport, 0, H7900, Truck-5, 1, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, A0126, Truck-5, 3, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, C8685, Truck-5, 1, 200, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, V4355, Truck-5, 60, 200, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, K4250, Truck-5, 20, 1, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, B0028, Truck-5, 2, 455, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, V4550, Truck-5, 2, 200, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, K4128, Truck-5, 20, 1, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, C4546, Truck-5, 9, 3, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, V4340, Truck-5, 20, 200, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, K4895, Truck-5, 5, 1, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, V4355, Truck-5, 610, 200, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, V4610, Truck-5, 36, 200, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, C7915, Truck-5, 5, 120, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, K4959, Truck-5, 41, 505, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, K4250, Truck-5, 40, 1, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, V4652, Truck-5, 128, 1, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, V4550, Truck-5, 10, 200, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, B13202E, Truck-5, 5, 200, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, C4546, Truck-5, 10, 3, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, V4340, Truck-5, 160, 200, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, H7030, Truck-5, 5, 1, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, C3409, Truck-5, 35.4746, 650, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, D0475, Truck-5, 1, 1, 10000
Mud_Bay_Sup, Fairbanks_Airport, 0, V0012, Truck-5, 160, 200, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, V0023, Truck-5, 40, 200, 0
Anchorage_Port, Juneau_Airport, 0, PORTABLE FLOOR CRANE, Truck-5, 0.682038, 330, 0
Anchorage_Port, Juneau_Airport, 0, CHARGING RIG-O2, Truck-5, 0.157012, 2130, 0
Anchorage_Port, Juneau_Airport, 0, DISABLED WHEEL DOLLY, Truck-5, 1, 310, 10000
Anchorage_Port, Juneau_Airport, 0, ADU-933 Crate, Truck-5, 1, 80, 0
Anchorage_Port, Juneau_Airport, 0, C4433, Truck-5, 6, 3260, 10000
Anchorage_Port, Juneau_Airport, 0, LAU-147 Crate, Truck-5, 1, 140, 0
Anchorage_Port, Mud_Bay_Sup, 0, D1063, Truck-5, 1, 34400, 10000
Anchorage_Port, Elmendorf_AFB, 0, C00772E, Truck-5, 1, 480, 0
Anchorage_Port, Elmendorf_AFB, 0, HEATER-PORTABLE-DUCT, Truck-5, 1, 1280, 0
Anchorage_Port, Elmendorf_AFB, 0, PORTABLE FLOOR CRANE, Truck-5, 0.317962, 330, 0
Anchorage_Port, Elmendorf_AFB, 0, CHARGING RIG-O2, Truck-5, 0.842988, 2130, 0
Anchorage_Port, Elmendorf_AFB, 0, COMPRESSOR UNIT-ROTARY, Truck-5, 1, 2500, 0
Anchorage_Port, Elmendorf_AFB, 0, A0047, Truck-5, 1, 7550, 0
Anchorage_Port, Elmendorf_AFB, 0, COMPONENT HANDLING JACK, Truck-5, 1, 910, 0
Anchorage_Port, Elmendorf_AFB, 0, ADU-932 Crate, Truck-5, 1, 80, 0
Anchorage_Port, Elmendorf_AFB, 0, SUU-95/A, Truck-5, 1, 500, 0
Anchorage_Port, Elmendorf_AFB, 0, A32327G, Truck-5, 0.999231, 10840, 0
Anchorage_Port, Elmendorf_AFB, 0, LAU-151/A, Truck-5, 1, 140, 0
Anchorage_Port, Elmendorf_AFB, 0, B09537B, Truck-5, 1, 2220, 0
Anchorage_Port, Elmendorf_AFB, 0, HIGH LIFT ADAPTER CRATE, Truck-5, 1, 550, 0
