h,l,lprime, t, Zvalue
Truck-5, Juneau_Airport, Tanani_Sup, 38, 0
Truck-5, Juneau_Airport, Tanani_Sup, 39, 0
Truck-5, Juneau_Airport, Tanani_Sup, 40, 0
Truck-5, Juneau_Airport, Tanani_Sup, 41, 0
Truck-5, Juneau_Airport, Tanani_Sup, 42, 0
Truck-5, Juneau_Airport, Tanani_Sup, 43, 0
Truck-5, Juneau_Airport, Tanani_Sup, 44, 0
Truck-5, Juneau_Airport, Tanani_Sup, 45, 0
Truck-5, Juneau_Airport, Tanani_Sup, 46, 0
Truck-5, Juneau_Airport, Tanani_Sup, 47, 0
Truck-5, Juneau_Airport, Tanani_Sup, 48, 0
Truck-5, Juneau_Airport, Tanani_Sup, 49, 0
Truck-5, Juneau_Airport, Tanani_Sup, 50, 0
Truck-5, Juneau_Airport, Tanani_Sup, 51, 0
Truck-5, Juneau_Airport, Tanani_Sup, 52, 0
Truck-5, Juneau_Airport, Tanani_Sup, 53, 0
Truck-5, Juneau_Airport, Tanani_Sup, 54, 0
Truck-5, Juneau_Airport, Tanani_Sup, 55, 0
Truck-5, Juneau_Airport, Tanani_Sup, 56, 0
Truck-5, Juneau_Airport, Tanani_Sup, 57, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 0, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 1, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 2, 0.592511
Truck-5, Juneau_Airport, Mud_Bay_Sup, 3, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 4, 0.969677
Truck-5, Juneau_Airport, Mud_Bay_Sup, 5, 0.405549
Truck-5, Juneau_Airport, Mud_Bay_Sup, 6, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 7, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 8, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 9, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 10, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 11, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 12, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 13, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 14, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 15, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 16, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 17, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 18, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 19, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 20, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 21, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 22, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 23, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 24, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 25, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 26, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 27, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 28, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 29, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 30, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 31, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 32, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 33, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 34, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 35, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 36, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 37, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 38, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 39, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 40, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 41, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 42, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 43, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 44, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 45, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 46, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 47, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 48, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 49, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 50, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 51, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 52, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 53, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 54, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 55, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 56, 0
Truck-5, Juneau_Airport, Mud_Bay_Sup, 57, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 0, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 1, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 2, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 3, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 4, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 5, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 6, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 7, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 8, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 9, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 10, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 11, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 12, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 13, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 14, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 15, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 16, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 17, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 18, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 19, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 20, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 21, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 22, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 23, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 24, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 25, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 26, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 27, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 28, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 29, 0
