l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, G955, AMK25, 23.5789, 1.6, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, M421, CH-53K_King_Stallion, 0.105263, 65, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, A011, CH-53K_King_Stallion, 1.15789, 23, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, CRTG-_81MM_SMK_RP_M819_WFZ_MTSQ_M772, CH-53K_King_Stallion, 2.68421, 63, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, G881, CH-53K_King_Stallion, 214.737, 51, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, CA30, CH-53K_King_Stallion, 10.9474, 66, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, A363, CH-53K_King_Stallion, 0.157895, 36.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, MN79, CH-53K_King_Stallion, 0.736842, 1, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, BA14, CH-53K_King_Stallion, 0.368421, 44, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, CRTG-_762MM_4_BALL_M801TRCR_M62, CH-53K_King_Stallion, 0.578947, 17.75, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, B647, CH-53K_King_Stallion, 2.21053, 45, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, M670, CH-53K_King_Stallion, 0.0526316, 9.8, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, AA60, CH-53K_King_Stallion, 0.736842, 24.72, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, ML03, CH-53K_King_Stallion, 0.105263, 15, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, G950, CH-53K_King_Stallion, 14.2982, 34, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, A606, CH-53K_King_Stallion, 2.10526, 36.2, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, CRTG-_CAL_50_API_M8API-T_M20_LNKD_AC, CH-53K_King_Stallion, 0.263158, 35, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, Water_Rigid, CH-53K_King_Stallion, 140, 33, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, G940, CH-53K_King_Stallion, 5.89474, 34, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, K867, CH-53K_King_Stallion, 0.0526316, 40, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, M456, CH-53K_King_Stallion, 0.157895, 23, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, BA44, CH-53K_King_Stallion, 3.52632, 4.86, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, B546, CH-53K_King_Stallion, 0.105263, 44, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, Rocket-_298mm_Tactical_Unitary_M31A2_IM_GMLRS, CH-53K_King_Stallion, 0.0526316, 5096, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, AA53, CH-53K_King_Stallion, 0.0526316, 33.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, L283, CH-53K_King_Stallion, 5.89474, 8.76, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, CRTG-_556MM_TRCR_M856, CH-53K_King_Stallion, 0.157895, 30, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, Cartridge-_25mm_APDS-T_M791_Linked, CH-53K_King_Stallion, 0.0526316, 99, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, B567, CH-53K_King_Stallion, 0.105263, 4.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, C484, CH-53K_King_Stallion, 0.842105, 12.43, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, L495, CH-53K_King_Stallion, 159.263, 1.35, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, M757, CH-53K_King_Stallion, 0.0526316, 0.005, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, AA03, CH-53K_King_Stallion, 2.57895, 17.9, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, Cartridge-_Caliber_50_4_SLAP_M9031_SLAP-T_M962_Linked, CH-53K_King_Stallion, 0.0526316, 35, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, WH51, CH-53K_King_Stallion, 0.210526, 66.6, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, Cartridge-_25mm_HEI-T_M792_Linked, CH-53K_King_Stallion, 0.473684, 55, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, AB57, CH-53K_King_Stallion, 0.263158, 35.08, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, C871, CH-53K_King_Stallion, 1.84211, 12.3, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, M420, CH-53K_King_Stallion, 0.105263, 60, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, AA04, CH-53K_King_Stallion, 0.105263, 17.75, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, Charge-_Demolition_Block_TNT_1-Pound, CH-53K_King_Stallion, 4.94737, 71.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, G924, CH-53K_King_Stallion, 0.315789, 50, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, WH54, CH-53K_King_Stallion, 0.210526, 61.56, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, J007, CH-53K_King_Stallion, 12.7368, 41, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, M039, CH-53K_King_Stallion, 0.105263, 50, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, Grenade-_66mm_Smoke_Screening-_RP_Veh_Launched_MK1_MOD0, CH-53K_King_Stallion, 11.3158, 17, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, G900, CH-53K_King_Stallion, 1.05263, 47, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, B542, CH-53K_King_Stallion, 15.3158, 42, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, M131, CH-53K_King_Stallion, 0.0526316, 5.54, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, Rocket-_298mm_Alternative_Warhead_M30A2_IM_GMLRS, CH-53K_King_Stallion, 0.0526316, 5072, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, GG41, CH-53K_King_Stallion, 0.947368, 22, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, MRE, CH-53K_King_Stallion, 587.158, 22, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, JP5, CH-53K_King_Stallion, 6915.07, 6.6, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, AA54, CH-53K_King_Stallion, 0.315789, 23.65, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, MRE, CH-53K_King_Stallion, 583.158, 22, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, A363, CH-53K_King_Stallion, 0.157895, 36.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, M757, CH-53K_King_Stallion, 0.0526316, 0.005, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, AA60, CH-53K_King_Stallion, 4.42105, 24.72, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, Water_Rigid, CH-53K_King_Stallion, 1540, 33, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, G924, CH-53K_King_Stallion, 0.315789, 50, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, BA44, CH-53K_King_Stallion, 3.52632, 4.86, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, B546, CH-53K_King_Stallion, 0.842105, 44, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, Rocket-_298mm_Tactical_Unitary_M31A2_IM_GMLRS, CH-53K_King_Stallion, 1.08077, 5096, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, AA53, CH-53K_King_Stallion, 0.0526316, 33.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, CRTG-_556MM_TRCR_M856, CH-53K_King_Stallion, 0.315789, 30, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, Cartridge-_25mm_APDS-T_M791_Linked, CH-53K_King_Stallion, 0.421053, 99, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, G900, CH-53K_King_Stallion, 6.31579, 47, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, B567, CH-53K_King_Stallion, 0.105263, 4.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, C484, CH-53K_King_Stallion, 0.842105, 12.43, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, M131, CH-53K_King_Stallion, 0.0526316, 5.54, 0
