h,l,lprime, t, Zvalue
JLTV_M1279A1, Phase_I_313_Staging_Location, Phase_II_PAA2, 33, -0
AMK25, Sultan_Iskandar_Muda_Airport, Phase_II_D-Day_128_Support_Area, 30, -0
JLTV_M1279A1, Phase_II_D1_128__328_Supporting_Position, Phase_II_D1_PAA_3, 35, -0
MV-22B_None, Port_Teluk_Bayar, Pekanbaru_Air_Base, 31, -0
JLTV_M1279A1, Phase_I_328_Staging_Location, Phase_II_D1_128__328_Supporting_Position, 35, -0
JLTV_M1279A1, Phase_II_D2_PAA4, Banda_Aceh_Port, 28, -0
CH-53K_King_Stallion, Phase_I__II_Recon_Deep_Staging_Location, Banda_Aceh_Port, 27, -0
AMK25, Pekanbaru_Air_Base, Port_Teluk_Bayar, 31, -0
AMK25, Phase_I_328_Staging_Location, Phase_II_D2_PAA4, 36, -0
AMK25, Port_Teluk_Bayar, Port_of_Belawan, 33, -0
JLTV_M1279A1, Phase_II_D1_PAA_3, Sultan_Iskandar_Muda_Airport, 32, -0
JLTV_M1279A1, Sultan_Iskandar_Muda_Airport, Banda_Aceh_Port, 8, 0
JLTV_M1279A1, Phase_II_D1_PAA_3, Phase_II_D2_PAA4, 29, -0
JLTV_M1279A1, Phase_II_D2_PAA4, Phase_I_313_Staging_Location, 32, -0
CH-53K_King_Stallion, Sultan_Iskandar_Muda_Airport, Banda_Aceh_Port, 18, 6
AMK25, Banda_Aceh_Port, Phase_II_D1_PAA_3, 35, -0
AMK25, Banda_Aceh_Port, Phase_II_D2_PAA4, 29, -0
JLTV_M1279A1, Banda_Aceh_Port, Phase_I_328_Staging_Location, 22, -0
JLTV_M1279A1, Phase_II_D-Day_128_Support_Area, Phase_II_D1_128__328_Supporting_Position, 32, -0
JLTV_M1279A1, Phase_II_PAA2, Phase_II_D-Day_128_Support_Area, 30, -0
JLTV_M1279A1, Phase_II_PAA2, Medan_Air_Base, 37, -0
CH-53K_King_Stallion, Phase_I__II_Recon_Deep_Staging_Location, Banda_Aceh_Port, 40, -0
AMK25, Phase_II_PAA2, Banda_Aceh_Port, 39, -0
AMK25, Phase_I_328_Staging_Location, Pekanbaru_Air_Base, 36, 0
JLTV_M1279A1, Sultan_Iskandar_Muda_Airport, Banda_Aceh_Port, 21, -0
CH-53K_King_Stallion, Sultan_Iskandar_Muda_Airport, Banda_Aceh_Port, 31, -0
JLTV_M1279A1, Phase_II_PAA2, Phase_I_128_Staging_Location, 28, -0
JLTV_M1279A1, Phase_II_PAA2, Phase_II_D1_128__328_Supporting_Position, 40, -0
JLTV_M1279A1, Sultan_Iskandar_Muda_Airport, Phase_I_313_Staging_Location, 25, -0
AMK25, Medan_Air_Base, Phase_II_D2_PAA4, 40, -0
CH-53K_King_Stallion, Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 3, 5
AMK25, Phase_II_D-Day_128_Support_Area, Pekanbaru_Air_Base, 29, -0
AMK25, Phase_II_D2_PAA4, Phase_II_PAA2, 27, 0
MV-22B_None, Sultan_Iskandar_Muda_Airport, Port_of_Belawan, 40, -0
CH-53K_King_Stallion, Phase_I__II_Recon_Deep_Staging_Location, Port_Teluk_Bayar, 25, -0
JLTV_M1279A1, Phase_I_128_Staging_Location, Sultan_Iskandar_Muda_Airport, 24, 29
JLTV_M1279A1, Banda_Aceh_Port, Phase_I_128_Staging_Location, 26, -0
