j,t,l, Inv, Inv_LB, shortage
A011, 7, Phase_II_Farp_2A, 0, 0, 0
A011, 7, Phase_I_313_Staging_Location, 0, 0, 0
A011, 7, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 7, Phase_II_D2_PAA4, 0, 0, 0
A011, 7, Phase_II_PAA2, 0, 0, 0
A011, 7, Sultan_Iskandar_Muda_Airport, 17.5263, 3, 0
A011, 7, Medan_Air_Base, 0, 0, 0
A011, 7, Phase_I_328_Staging_Location, 0, 0, 0
A011, 7, Phase_II_D3_PAA5, 0, 0, 0
A011, 7, Phase_II_D1_PAA_3, 0, 0, 0
A011, 7, Phase_I_128_Staging_Location, 0, 0, 0
A011, 7, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 7, Port_of_Belawan, 0, 0, 0
A011, 7, Banda_Aceh_Port, 31, 0, 0
A011, 8, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 8, Phase_II_Farp_2A, 0, 0, 0
A011, 8, Phase_I_313_Staging_Location, 0, 0, 0
A011, 8, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 8, Phase_II_D2_PAA4, 0, 0, 0
A011, 8, Phase_II_PAA2, 0, 0, 0
A011, 8, Sultan_Iskandar_Muda_Airport, 16.9474, 3, 0
A011, 8, Medan_Air_Base, 0, 0, 0
A011, 8, Phase_I_328_Staging_Location, 0, 0, 0
A011, 8, Phase_II_D3_PAA5, 0, 0, 0
A011, 8, Phase_II_D1_PAA_3, 0, 0, 0
A011, 8, Phase_I_128_Staging_Location, 0, 0, 0
A011, 8, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 8, Port_of_Belawan, 0, 0, 0
A011, 8, Banda_Aceh_Port, 31, 0, 0
A011, 9, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 9, Phase_II_Farp_2A, 0, 0, 0
A011, 9, Phase_I_313_Staging_Location, 0, 0, 0
A011, 9, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
