l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Juneau_Airport, Elmendorf_AFB, 19, D0015, C-17, 0.0302234, 54000, 10000
Juneau_Airport, Nome_Airport, 19, D0005, C-17, 0.0757798, 44480, 10000
Mosquito_Lake_Sup, Juneau_Airport, 19, D0003, LowBoyTractor, 0.0757798, 44480, 10000
Tanani_Sup, Juneau_Airport, 19, B0063, LowBoyTractor, 0.0374541, 46420, 0
Tanani_Sup, Juneau_Airport, 19, D0054, LowBoyTractor, 0.0229158, 71220, 10000
Tanani_Sup, Anchorage_Port, 19, B0063, LowBoyTractor, 0.00428057, 46420, 0
Tanani_Sup, Anchorage_Port, 19, D0054, LowBoyTractor, 0.00261901, 71220, 10000
Mud_Bay_Sup, Juneau_Airport, 19, D0054, LowBoyTractor, 0.024412, 71220, 10000
Mud_Bay_Sup, Juneau_Airport, 19, D0015, LowBoyTractor, 0.0302234, 54000, 10000
Mud_Bay_Sup, Elmendorf_AFB, 19, D0054, LowBoyTractor, 0.00109716, 71220, 10000
Mud_Bay_Sup, Elmendorf_AFB, 19, D0015, LowBoyTractor, 0.0978414, 54000, 10000
Nome_Airport, Teller_Dest, 19, D0003, LowBoyTractor, 0.0757798, 44480, 10000
Nome_Port, Teller_Dest, 19, D0235, Truck-5, 0.761324, 19600, 10000
Nome_Port, Teller_Dest, 19, D0009, Truck-5, 0.170613, 28000, 10000
Juneau_Airport, Elmendorf_AFB, 20, B0063, C-17, 0.0374541, 46420, 0
Juneau_Airport, Elmendorf_AFB, 20, D0015, C-17, 0.0302234, 54000, 10000
Juneau_Airport, Nome_Airport, 20, D0003, C-17, 0.0757798, 44480, 10000
Anchorage_Port, Nome_Port, 20, B0063, OSV, 0.306502, 46420, 0
Anchorage_Port, Nome_Port, 20, D0054, OSV, 0.0359426, 71220, 10000
Tanani_Sup, Juneau_Airport, 20, B0063, LowBoyTractor, 0.0726128, 46420, 0
Tanani_Sup, Anchorage_Port, 20, B0063, LowBoyTractor, 0.00179322, 46420, 0
Mud_Bay_Sup, Juneau_Airport, 20, D0054, LowBoyTractor, 0.0596734, 71220, 10000
Mud_Bay_Sup, Juneau_Airport, 20, D0015, LowBoyTractor, 0.209844, 54000, 10000
Nome_Airport, Teller_Dest, 20, D0005, LowBoyTractor, 0.0757798, 44480, 10000
Nome_Port, Teller_Dest, 20, B0063, LowBoyTractor, 0.342639, 46420, 0
Juneau_Airport, Elmendorf_AFB, 21, D0015, C-17, 0.37017, 54000, 10000
Juneau_Airport, Nome_Airport, 21, B0063, C-17, 0.0726128, 46420, 0
Anchorage_Port, Nome_Port, 21, B0063, OSV, 0.428565, 46420, 0
Anchorage_Port, Nome_Port, 21, D0054, OSV, 0.262212, 71220, 10000
Mosquito_Lake_Sup, Juneau_Airport, 21, D0003, LowBoyTractor, 0.04145, 44480, 10000
Tanani_Sup, Juneau_Airport, 21, B0063, LowBoyTractor, 0.0328951, 46420, 0
Tanani_Sup, Juneau_Airport, 21, NIIN_1491094, Truck-5, 3.22581, 22, 0
Tanani_Sup, Juneau_Airport, 21, NIIN_14671753, Truck-5, 118.182, 15, 0
Mud_Bay_Sup, Juneau_Airport, 21, D0015, LowBoyTractor, 0.160326, 54000, 10000
