j,t,l, Inv, Inv_LB, shortage
E1123, 7, Fairbanks_Airport, 8, 8, 0
E1123, 7, Nome_Airport, 0, 0, 0
E1123, 7, Nome_Port, 0, 0, 0
E1123, 7, Teller_Dest, 0, 0, 0
E1123, 7, Camp_Pendleton_Airport, 0, 0, 0
E1123, 7, Point_Loma, 0, 0, 0
E1123, 8, Juneau_Airport, 0, 0, 0
E1123, 8, Mosquito_Lake_Sup, 0, 0, 0
E1123, 8, Tanani_Sup, 0, 0, 0
E1123, 8, Mud_Bay_Sup, 0, 0, 0
E1123, 8, Port_Chilkoot, 0, 0, 0
E1123, 8, Elmendorf_AFB, 0, 0, 0
E1123, 8, Anchorage_Port, 0, 0, 0
E1123, 8, Seward_MPF_Port, 0, 0, 0
E1123, 8, Fairbanks_Airport, 8, 8, 0
E1123, 8, Nome_Airport, 0, 0, 0
E1123, 8, Nome_Port, 0, 0, 0
E1123, 8, Teller_Dest, 0, 0, 0
E1123, 8, Camp_Pendleton_Airport, 0, 0, 0
E1123, 8, Point_Loma, 0, 0, 0
E1123, 9, Juneau_Airport, 0, 0, 0
E1123, 9, Mosquito_Lake_Sup, 0, 0, 0
E1123, 9, Tanani_Sup, 0, 0, 0
E1123, 9, Mud_Bay_Sup, 0, 0, 0
E1123, 9, Port_Chilkoot, 0, 0, 0
E1123, 9, Elmendorf_AFB, 0, 0, 0
E1123, 9, Anchorage_Port, 0, 0, 0
E1123, 9, Seward_MPF_Port, 0, 0, 0
E1123, 9, Fairbanks_Airport, 8, 8, 0
E1123, 9, Nome_Airport, 0, 0, 0
E1123, 9, Nome_Port, 0, 0, 0
E1123, 9, Teller_Dest, 0, 0, 0
E1123, 9, Camp_Pendleton_Airport, 0, 0, 0
E1123, 9, Point_Loma, 0, 0, 0
E1123, 10, Juneau_Airport, 0, 0, 0
E1123, 10, Mosquito_Lake_Sup, 0, 0, 0
E1123, 10, Tanani_Sup, 0, 0, 0
E1123, 10, Mud_Bay_Sup, 0, 0, 0
E1123, 10, Port_Chilkoot, 0, 0, 0
E1123, 10, Elmendorf_AFB, 0, 0, 0
E1123, 10, Anchorage_Port, 0, 0, 0
E1123, 10, Seward_MPF_Port, 0, 0, 0
E1123, 10, Fairbanks_Airport, 8, 8, 0
E1123, 10, Nome_Airport, 0, 0, 0
E1123, 10, Nome_Port, 0, 0, 0
E1123, 10, Teller_Dest, 0, 0, 0
E1123, 10, Camp_Pendleton_Airport, 0, 0, 0
E1123, 10, Point_Loma, 0, 0, 0
E1123, 11, Juneau_Airport, 0, 0, 0
E1123, 11, Mosquito_Lake_Sup, 0, 0, 0
E1123, 11, Tanani_Sup, 0, 0, 0
E1123, 11, Mud_Bay_Sup, 0, 0, 0
E1123, 11, Port_Chilkoot, 0, 0, 0
E1123, 11, Elmendorf_AFB, 0, 0, 0
E1123, 11, Anchorage_Port, 0, 0, 0
E1123, 11, Seward_MPF_Port, 0, 0, 0
E1123, 11, Fairbanks_Airport, 8, 8, 0
E1123, 11, Nome_Airport, 0, 0, 0
E1123, 11, Nome_Port, 0, 0, 0
E1123, 11, Teller_Dest, 0, 0, 0
E1123, 11, Camp_Pendleton_Airport, 0, 0, 0
E1123, 11, Point_Loma, 0, 0, 0
E1123, 12, Juneau_Airport, 0, 0, 0
E1123, 12, Mosquito_Lake_Sup, 0, 0, 0
E1123, 12, Tanani_Sup, 0, 0, 0
E1123, 12, Mud_Bay_Sup, 0, 0, 0
E1123, 12, Port_Chilkoot, 0, 0, 0
E1123, 12, Elmendorf_AFB, 0, 0, 0
E1123, 12, Anchorage_Port, 0, 0, 0
E1123, 12, Seward_MPF_Port, 0, 0, 0
E1123, 12, Fairbanks_Airport, 8, 8, 0
E1123, 12, Nome_Airport, 0, 0, 0
E1123, 12, Nome_Port, 0, 0, 0
E1123, 12, Teller_Dest, 0, 0, 0
E1123, 12, Camp_Pendleton_Airport, 0, 0, 0
E1123, 12, Point_Loma, 0, 0, 0
E1123, 13, Juneau_Airport, 0, 0, 0
E1123, 13, Mosquito_Lake_Sup, 0, 0, 0
E1123, 13, Tanani_Sup, 0, 0, 0
E1123, 13, Mud_Bay_Sup, 0, 0, 0
E1123, 13, Port_Chilkoot, 0, 0, 0
E1123, 13, Elmendorf_AFB, 0, 0, 0
E1123, 13, Anchorage_Port, 0, 0, 0
E1123, 13, Seward_MPF_Port, 0, 0, 0
E1123, 13, Fairbanks_Airport, 8, 8, 0
E1123, 13, Nome_Airport, 0, 0, 0
E1123, 13, Nome_Port, 0, 0, 0
E1123, 13, Teller_Dest, 0, 0, 0
E1123, 13, Camp_Pendleton_Airport, 0, 0, 0
E1123, 13, Point_Loma, 0, 0, 0
E1123, 14, Juneau_Airport, 0, 0, 0
E1123, 14, Mosquito_Lake_Sup, 0, 0, 0
E1123, 14, Tanani_Sup, 0, 0, 0
E1123, 14, Mud_Bay_Sup, 0, 0, 0
E1123, 14, Port_Chilkoot, 0, 0, 0
E1123, 14, Elmendorf_AFB, 0, 0, 0
E1123, 14, Anchorage_Port, 0, 0, 0
E1123, 14, Seward_MPF_Port, 0, 0, 0
E1123, 14, Fairbanks_Airport, 8, 8, 0
E1123, 14, Nome_Airport, 0, 0, 0
E1123, 14, Nome_Port, 0, 0, 0
E1123, 14, Teller_Dest, 0, 0, 0
E1123, 14, Camp_Pendleton_Airport, 0, 0, 0
E1123, 14, Point_Loma, 0, 0, 0
E1123, 15, Juneau_Airport, 0, 0, 0
E1123, 15, Mosquito_Lake_Sup, 0, 0, 0
E1123, 15, Tanani_Sup, 0, 0, 0
E1123, 15, Mud_Bay_Sup, 0, 0, 0
E1123, 15, Port_Chilkoot, 0, 0, 0
E1123, 15, Elmendorf_AFB, 0, 0, 0
E1123, 15, Anchorage_Port, 0, 0, 0
E1123, 15, Seward_MPF_Port, 0, 0, 0
E1123, 15, Fairbanks_Airport, 8, 8, 0
E1123, 15, Nome_Airport, 0, 0, 0
E1123, 15, Nome_Port, 0, 0, 0
E1123, 15, Teller_Dest, 0, 0, 0
E1123, 15, Camp_Pendleton_Airport, 0, 0, 0
E1123, 15, Point_Loma, 0, 0, 0
E1123, 16, Juneau_Airport, 0, 0, 0
E1123, 16, Mosquito_Lake_Sup, 0, 0, 0
E1123, 16, Tanani_Sup, 0, 0, 0
E1123, 16, Mud_Bay_Sup, 0, 0, 0
E1123, 16, Port_Chilkoot, 0, 0, 0
E1123, 16, Elmendorf_AFB, 0, 0, 0
