l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Camp_Pendleton_Airport, Juneau_Airport, 0, D0017, C-17, 2, 2180, 10000
Camp_Pendleton_Airport, Elmendorf_AFB, 0, H2044, C-17, 3, 1, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 1479AS500, C-17, 1, 300, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 3573AS100-1, C-17, 1, 2100, 0
Camp_Pendleton_Airport, Nome_Airport, 0, D0022, C-17, 2, 7840, 10000
Camp_Pendleton_Airport, Nome_Airport, 0, 040489-10, C-17, 1, 4000, 0
Camp_Pendleton_Airport, Nome_Airport, 0, A0067, C-17, 4, 9780, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 10-10-0002, C-17, 1, 12500, 0
Anchorage_Port, Port_Chilkoot, 0, D1063, Truck-5, 0.489523, 34400, 10000
Anchorage_Port, Port_Chilkoot, 0, A0047, Truck-5, 0.70152, 7550, 0
Anchorage_Port, Port_Chilkoot, 0, A0292, Truck-5, 0.520794, 10300, 0
Anchorage_Port, Seward_MPF_Port, 0, E1500, OSV, 0.721075, 37020, 10000
Anchorage_Port, Seward_MPF_Port, 0, A0047, OSV, 0.19002, 7550, 0
Anchorage_Port, Seward_MPF_Port, 0, C44332E, OSV, 2, 4830, 10000
Anchorage_Port, Seward_MPF_Port, 0, HEATER-PORTABLE-DUCT, OSV, 1, 1280, 0
Anchorage_Port, Seward_MPF_Port, 0, LH859, OSV, 1, 5500, 0
Anchorage_Port, Seward_MPF_Port, 0, A32327G, OSV, 0.409375, 10840, 0
Anchorage_Port, Seward_MPF_Port, 0, CHARGING_RIG-O2, OSV, 1, 2130, 0
Anchorage_Port, Seward_MPF_Port, 0, COMPONENT_HANDLING_JACK, OSV, 0.770655, 910, 0
Anchorage_Port, Seward_MPF_Port, 0, A0292, OSV, 0.142293, 10300, 0
Anchorage_Port, Seward_MPF_Port, 0, SUU-95A, OSV, 0.236036, 500, 0
Anchorage_Port, Seward_MPF_Port, 0, D12147K, OSV, 0.778006, 67600, 10000
Anchorage_Port, Seward_MPF_Port, 0, MEPP-6_270_POWER_CART_Sea_Lift, OSV, 1, 5500, 0
Anchorage_Port, Seward_MPF_Port, 0, B09537B, OSV, 1, 2220, 0
Anchorage_Port, Seward_MPF_Port, 0, YN706, OSV, 1, 4910, 0
Anchorage_Port, Nome_Port, 0, PORTABLE_FLOOR_CRANE, OSV, 1, 330, 0
Anchorage_Port, Nome_Port, 0, A0047, OSV, 0.00614377, 7550, 0
Anchorage_Port, Nome_Port, 0, COMPRESSOR_UNIT-ROTARY, OSV, 1, 2500, 0
Anchorage_Port, Nome_Port, 0, A04037G, OSV, 0.0479903, 10300, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B0027, Truck-5, 0.551109, 311, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B0008, Truck-5, 2, 794, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B2085, Truck-5, 1.70358, 2600, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B0043, Truck-5, 1, 1550, 0
