l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Camp_Pendleton_Airport, Juneau_Airport, 0, A0067, C-17, 2, 9780, 0
Camp_Pendleton_Airport, Juneau_Airport, 0, D0017, C-17, 2, 2180, 10000
Camp_Pendleton_Airport, Elmendorf_AFB, 0, H2044, C-17, 3, 1, 0
Camp_Pendleton_Airport, Elmendorf_AFB, 0, H7030, C-17, 2, 1, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 1479AS500, C-17, 0.885421, 300, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 3573AS100-1, C-17, 1, 2100, 0
Camp_Pendleton_Airport, Nome_Airport, 0, D0022, C-17, 2, 7840, 10000
Camp_Pendleton_Airport, Nome_Airport, 0, A0067, C-17, 2, 9780, 0
Anchorage_Port, Seward_MPF_Port, 0, A0047, OSV, 0.0847541, 7550, 0
Anchorage_Port, Seward_MPF_Port, 0, C44332E, OSV, 1, 4830, 10000
Anchorage_Port, Seward_MPF_Port, 0, A32327G, OSV, 0.348061, 10840, 0
Anchorage_Port, Seward_MPF_Port, 0, D12147K, OSV, 0.919612, 67600, 10000
Anchorage_Port, Seward_MPF_Port, 0, B09537B, OSV, 1, 2220, 0
Anchorage_Port, Nome_Port, 0, PORTABLE_FLOOR_CRANE, OSV, 0.0587787, 330, 0
Anchorage_Port, Nome_Port, 0, CART-PAO_SEVICING-DIESEL, OSV, 0.269269, 12310, 0
Anchorage_Port, Nome_Port, 0, DISABLED_WHEEL_DOLLY, OSV, 1, 310, 10000
Anchorage_Port, Nome_Port, 0, HIGH_LIFT_ADAPTER_CRATE, OSV, 1, 550, 0
Anchorage_Port, Nome_Port, 0, A04037G, OSV, 0.0863558, 10300, 0
Anchorage_Port, Nome_Port, 0, HEATER-PORTABLE-DUCT, OSV, 1, 1280, 0
Anchorage_Port, Nome_Port, 0, CHARGING_RIG-O2, OSV, 1, 2130, 0
Anchorage_Port, Nome_Port, 0, C00772E, OSV, 1, 480, 0
Anchorage_Port, Nome_Port, 0, SUU-95A, OSV, 1, 500, 0
Anchorage_Port, Nome_Port, 0, SUU-96A, OSV, 1, 250, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, D0003, LowBoyTractor, 1.25116, 44480, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, D0005, LowBoyTractor, 0.03145, 44480, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, B0049, Truck-5, 0.91141, 7410, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, D0862, Truck-5, 0.77924, 10500, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, B0027, Truck-5, 3.17087, 311, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B0008, Truck-5, 2, 794, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, D0033, Truck-5, 2.22887, 10740, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, B2085, Truck-5, 1, 2600, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B2566, Truck-5, 1, 13440, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B2561, Truck-5, 1, 31900, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, C0035, Truck-5, 1, 887, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, M5030, Truck-5, 2, 510, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, D1001, Truck-5, 0.367735, 7960, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, B0014, Truck-5, 5, 736, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B0027, Truck-5, 0.157037, 311, 0
Mosquito_Lake_Sup, Port_Chilkoot, 0, D0862, Truck-5, 1.22076, 10500, 10000
Mosquito_Lake_Sup, Port_Chilkoot, 0, B0027, Truck-5, 0.18215, 311, 0
Mosquito_Lake_Sup, Port_Chilkoot, 0, D1001, Truck-5, 0.189289, 7960, 10000
Mosquito_Lake_Sup, Elmendorf_AFB, 0, B0027, Truck-5, 4.03576, 311, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 0, D0033, Truck-5, 2, 10740, 10000
Mosquito_Lake_Sup, Elmendorf_AFB, 0, B2085, Truck-5, 3, 2600, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 0, B2566, Truck-5, 3, 13440, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 0, B0043, Truck-5, 1, 1550, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 0, D0880, Truck-5, 1, 200, 10000
Mosquito_Lake_Sup, Elmendorf_AFB, 0, M5030, Truck-5, 1, 510, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 0, B0014, Truck-5, 9, 736, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 0, C0078, Truck-5, 6, 200, 0
Mosquito_Lake_Sup, Anchorage_Port, 0, B0027, Truck-5, 0.0283795, 311, 0
Mosquito_Lake_Sup, Anchorage_Port, 0, D0033, Truck-5, 0.0703168, 10740, 10000
Mosquito_Lake_Sup, Anchorage_Port, 0, B2566, Truck-5, 0.00996267, 13440, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, V4652, Truck-5, 14, 1, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B0027, Truck-5, 0.799392, 311, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B0008, Truck-5, 2, 794, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, D0033, Truck-5, 2, 10740, 10000
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B0730, Truck-5, 4, 304, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B22502E, Truck-5, 1, 363, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, M5030, Truck-5, 1, 510, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B22102E, Truck-5, 1, 243, 0
Tanani_Sup, Juneau_Airport, 0, NIIN_14671753, Truck-5, 648.237, 15, 0
Tanani_Sup, Mosquito_Lake_Sup, 0, NIIN_14671753, LowBoyTractor, 413.462, 15, 0
Tanani_Sup, Mosquito_Lake_Sup, 0, NIIN_14671753, Truck-5, 234.775, 15, 0
