l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Mosquito_Lake_Sup, Tanani_Sup, 0, D0052, LowBoyTractor, 1, 57300, 10000
Mosquito_Lake_Sup, Tanani_Sup, 0, B0043, LowBoyTractor, 1, 1550, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B0014, Truck-5, 1, 736, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B2561, Truck-5, 2, 31900, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B2085, Truck-5, 1, 2600, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B0027, Truck-5, 4, 311, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B2566, Truck-5, 1, 13440, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, D0033, Truck-5, 3, 10740, 10000
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B2085, Truck-5, 2, 2600, 0
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B0027, Truck-5, 2, 311, 0
Tanani_Sup, Juneau_Airport, 0, V0028, LowBoyTractor, 88, 200, 0
Tanani_Sup, Juneau_Airport, 0, V0024, LowBoyTractor, 87, 200, 0
Tanani_Sup, Juneau_Airport, 0, NIIN_1491094, LowBoyTractor, 9, 22, 0
Tanani_Sup, Juneau_Airport, 0, C8640, LowBoyTractor, 2, 200, 0
Tanani_Sup, Juneau_Airport, 0, C8638, LowBoyTractor, 1, 720, 0
Tanani_Sup, Juneau_Airport, 0, V4012, LowBoyTractor, 2, 200, 0
Tanani_Sup, Juneau_Airport, 0, C8740, LowBoyTractor, 2, 200, 0
Tanani_Sup, Juneau_Airport, 0, C8600, LowBoyTractor, 1, 200, 0
Tanani_Sup, Juneau_Airport, 0, A7706, LowBoyTractor, 2, 18, 0
Tanani_Sup, Juneau_Airport, 0, V4011, LowBoyTractor, 2, 200, 0
Tanani_Sup, Juneau_Airport, 0, C8614, LowBoyTractor, 1, 200, 0
Tanani_Sup, Juneau_Airport, 0, C8604, LowBoyTractor, 1, 200, 0
Tanani_Sup, Juneau_Airport, 0, A0073, LowBoyTractor, 2, 1, 0
Tanani_Sup, Juneau_Airport, 0, NIIN_14671753, LowBoyTractor, 2069, 15, 0
Tanani_Sup, Juneau_Airport, 0, V0026, LowBoyTractor, 28, 200, 0
Tanani_Sup, Juneau_Airport, 0, D0013, LowBoyTractor, 1, 200, 10000
Tanani_Sup, Juneau_Airport, 0, A0097, LowBoyTractor, 2, 2, 0
Tanani_Sup, Fairbanks_Airport, 0, V0028, Truck-5, 650, 200, 0
Tanani_Sup, Fairbanks_Airport, 0, H7255, Truck-5, 2, 10, 0
Tanani_Sup, Fairbanks_Airport, 0, V0024, Truck-5, 508, 200, 0
Tanani_Sup, Fairbanks_Airport, 0, A0126, Truck-5, 3, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, C8640, Truck-5, 1, 200, 0
Tanani_Sup, Fairbanks_Airport, 0, H2047, Truck-5, 12, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, C8685, Truck-5, 1, 200, 0
Tanani_Sup, Fairbanks_Airport, 0, C8740, Truck-5, 1, 200, 0
Tanani_Sup, Fairbanks_Airport, 0, E0994, Truck-5, 8, 68, 10000
Tanani_Sup, Fairbanks_Airport, 0, E1123, Truck-5, 6, 163, 10000
Tanani_Sup, Fairbanks_Airport, 0, E0180, Truck-5, 2, 10, 10000
Tanani_Sup, Fairbanks_Airport, 0, V4652, Truck-5, 55, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, A7706, Truck-5, 3, 18, 0
Tanani_Sup, Fairbanks_Airport, 0, H7900, Truck-5, 1, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, V4011, Truck-5, 44, 200, 0
Tanani_Sup, Fairbanks_Airport, 0, E1126, Truck-5, 16, 44, 10000
Tanani_Sup, Fairbanks_Airport, 0, E0989, Truck-5, 33, 24, 10000
Tanani_Sup, Fairbanks_Airport, 0, E1095, Truck-5, 2, 1, 10000
Tanani_Sup, Fairbanks_Airport, 0, A0073, Truck-5, 17, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, C8648, Truck-5, 1, 200, 0
Tanani_Sup, Fairbanks_Airport, 0, H2044, Truck-5, 2, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, A7902, Truck-5, 6, 75, 0
Tanani_Sup, Fairbanks_Airport, 0, A0135, Truck-5, 2, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, A0097, Truck-5, 9, 2, 0
Tanani_Sup, Fairbanks_Airport, 0, E0123, Truck-5, 8, 1, 10000
Tanani_Sup, Fairbanks_Airport, 0, E0088, Truck-5, 36, 3, 10000
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, C79052B, LowBoyTractor, 1, 200, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, K4895, LowBoyTractor, 2, 1, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, V4550, LowBoyTractor, 2, 200, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, C4880, LowBoyTractor, 9, 200, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, V0012, LowBoyTractor, 7, 200, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, K4128, LowBoyTractor, 6, 1, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, K4250, LowBoyTractor, 20, 1, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, K4343, LowBoyTractor, 6, 200, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, B2035, LowBoyTractor, 2, 200, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, V0023, LowBoyTractor, 2, 200, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, C4546, LowBoyTractor, 9, 3, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, V4610, LowBoyTractor, 2, 200, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, C3409, LowBoyTractor, 47, 650, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, B0028, LowBoyTractor, 5, 455, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, B0953, LowBoyTractor, 2, 2230, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, M0001, LowBoyTractor, 1, 790, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, V4340, LowBoyTractor, 6, 200, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, C7915, LowBoyTractor, 4, 120, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, B0029, LowBoyTractor, 2, 534, 0
Mud_Bay_Sup, Mosquito_Lake_Sup, 0, V4355, LowBoyTractor, 28, 200, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, K4895, Truck-5, 5, 1, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, V4550, Truck-5, 2, 200, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, K4959, Truck-5, 31, 505, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, V4652, Truck-5, 6, 1, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, K4128, Truck-5, 20, 1, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, K4250, Truck-5, 20, 1, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, C3409, Truck-5, 3, 650, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, B0028, Truck-5, 2, 455, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, V4340, Truck-5, 20, 200, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, V4355, Truck-5, 60, 200, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, D0475, Truck-5, 1, 1, 10000
Mud_Bay_Sup, Fairbanks_Airport, 0, B13202E, Truck-5, 5, 200, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, V4550, Truck-5, 10, 200, 0
