h,l,lprime, t, Zvalue
C-17, Elmendorf_AFB, Juneau_Airport, 4, 0
C-17, Elmendorf_AFB, Juneau_Airport, 5, 0
C-17, Elmendorf_AFB, Juneau_Airport, 6, 1
C-17, Elmendorf_AFB, Juneau_Airport, 7, -0
C-17, Elmendorf_AFB, Juneau_Airport, 8, -0
C-17, Elmendorf_AFB, Juneau_Airport, 9, -0
C-17, Elmendorf_AFB, Juneau_Airport, 10, -0
C-17, Elmendorf_AFB, Juneau_Airport, 11, -0
C-17, Elmendorf_AFB, Juneau_Airport, 12, -0
C-17, Elmendorf_AFB, Juneau_Airport, 13, -0
C-17, Elmendorf_AFB, Juneau_Airport, 14, -0
C-17, Elmendorf_AFB, Juneau_Airport, 15, -0
C-17, Elmendorf_AFB, Juneau_Airport, 16, -0
C-17, Elmendorf_AFB, Juneau_Airport, 17, -0
C-17, Elmendorf_AFB, Juneau_Airport, 18, -0
C-17, Elmendorf_AFB, Juneau_Airport, 19, -0
C-17, Elmendorf_AFB, Juneau_Airport, 20, -0
C-17, Elmendorf_AFB, Juneau_Airport, 21, -0
C-17, Elmendorf_AFB, Juneau_Airport, 22, -0
C-17, Elmendorf_AFB, Juneau_Airport, 23, -0
C-17, Elmendorf_AFB, Juneau_Airport, 24, -0
C-17, Elmendorf_AFB, Juneau_Airport, 25, -0
C-17, Elmendorf_AFB, Juneau_Airport, 26, -0
C-17, Elmendorf_AFB, Juneau_Airport, 27, -0
C-17, Elmendorf_AFB, Juneau_Airport, 28, -0
C-17, Elmendorf_AFB, Juneau_Airport, 29, -0
C-17, Elmendorf_AFB, Juneau_Airport, 30, -0
C-17, Elmendorf_AFB, Juneau_Airport, 31, -0
C-17, Elmendorf_AFB, Juneau_Airport, 32, -0
C-17, Elmendorf_AFB, Juneau_Airport, 33, -0
C-17, Elmendorf_AFB, Nome_Airport, 0, 0
C-17, Elmendorf_AFB, Nome_Airport, 1, 0
C-17, Elmendorf_AFB, Nome_Airport, 2, 1
C-17, Elmendorf_AFB, Nome_Airport, 3, 0
C-17, Elmendorf_AFB, Nome_Airport, 4, 1
C-17, Elmendorf_AFB, Nome_Airport, 5, 0
C-17, Elmendorf_AFB, Nome_Airport, 6, -0
C-17, Elmendorf_AFB, Nome_Airport, 7, -0
C-17, Elmendorf_AFB, Nome_Airport, 8, 1
C-17, Elmendorf_AFB, Nome_Airport, 9, 0
C-17, Elmendorf_AFB, Nome_Airport, 10, -0
C-17, Elmendorf_AFB, Nome_Airport, 11, 1
C-17, Elmendorf_AFB, Nome_Airport, 12, 0
C-17, Elmendorf_AFB, Nome_Airport, 13, -0
C-17, Elmendorf_AFB, Nome_Airport, 14, 0
C-17, Elmendorf_AFB, Nome_Airport, 15, 1
C-17, Elmendorf_AFB, Nome_Airport, 16, 1
C-17, Elmendorf_AFB, Nome_Airport, 17, -0
C-17, Elmendorf_AFB, Nome_Airport, 18, -0
C-17, Elmendorf_AFB, Nome_Airport, 19, -0
C-17, Elmendorf_AFB, Nome_Airport, 20, -0
C-17, Elmendorf_AFB, Nome_Airport, 21, -0
C-17, Elmendorf_AFB, Nome_Airport, 22, -0
C-17, Elmendorf_AFB, Nome_Airport, 23, -0
C-17, Elmendorf_AFB, Nome_Airport, 24, -0
C-17, Elmendorf_AFB, Nome_Airport, 25, -0
C-17, Elmendorf_AFB, Nome_Airport, 26, -0
C-17, Elmendorf_AFB, Nome_Airport, 27, -0
C-17, Elmendorf_AFB, Nome_Airport, 28, -0
C-17, Elmendorf_AFB, Nome_Airport, 29, -0
C-17, Elmendorf_AFB, Nome_Airport, 30, -0
C-17, Elmendorf_AFB, Nome_Airport, 31, 1
C-17, Elmendorf_AFB, Nome_Airport, 32, 1
C-17, Elmendorf_AFB, Nome_Airport, 33, 0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 0, 0
