l,lprime,t,j,h,Mvalue,per-item weight,per-item importance,sym1,sym2,Reach
Sultan_Iskandar_Muda_Airport,Banda_Aceh_Port,1, RFL_CO_L_328, CH-53K_King_Stallion,110.0,210.0,0,SupplyCompany,SupplyCompany,0.0
Sultan_Iskandar_Muda_Airport,Banda_Aceh_Port,1, RFL_CO_K_328, CH-53K_King_Stallion,110.0,210.0,0,SupplyCompany,SupplyCompany,0.0
Sultan_Iskandar_Muda_Airport,Banda_Aceh_Port,1, RFL_CO_I_328, CH-53K_King_Stallion,110.0,210.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, MN08, JLTV_M1279A1,6.0,0.56,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, Cartridge-_Caliber_50_4_SLAP_M9031_SLAP-T_M962_Linked, AMK25,2.0,35.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, CA30, AMK25,6.73684,66.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, Grenade-_66mm_Smoke_Screening-_RP_Veh_Launched_MK1_MOD0, AMK25,69.6316,17.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, MRE, AMK25,433.579,22.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, M456, AMK25,1.05263,23.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, ML03, AMK25,1.57895,15.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, Cartridge-_25mm_APDS-T_M791_Linked, AMK25,3.0,99.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, L307, AMK25,18.8947,2.08,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, MN79, AMK25,3.47368,1.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, G950, AMK25,18.0,34.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, AB57, AMK25,2.26316,35.08,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, GG41, AMK25,8.78947,22.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, L495, AMK25,115.105,1.35,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, AA53, AMK25,1.68421,33.5,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, AA54, AMK25,8.0,23.65,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, CRTG-_762MM_4_BALL_M801TRCR_M62, AMK25,9.57895,17.75,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, A606, AMK25,3.31579,36.2,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, M131, AMK25,1.57895,5.54,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, B647, AMK25,1.15789,45.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, L306, AMK25,60.1579,1.38,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, Rocket-_298mm_Alternative_Warhead_M30A2_IM_GMLRS, AMK25,2.16187,5072.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, C484, AMK25,13.2632,12.43,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, G955, AMK25,24.7895,1.6,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, JP5, AMK25,19811.7,6.6,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, A363, AMK25,2.73684,36.5,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, AA04, AMK25,4.0,17.75,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, G900, AMK25,7.05263,47.0,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, G982, AMK25,18.8947,1.69,0,SupplyCompany,SupplyCompany,0.0
Banda_Aceh_Port,Sultan_Iskandar_Muda_Airport,1, AA60, AMK25,11.1053,24.72,0,SupplyCompany,SupplyCompany,0.0
